education_level,skill_1,skill_2,skill_3,skill_4,experience,logical_quotient_rating,coding_skills_rating,self-learning_capability?,interested_technology,interested_career_area,type_of_company,management_or_technical,suggested_job_role
Master,CSS,JavaScript,Java,HTML,3,9,4,yes,networks,cloud computing,SAaS services,Technical,CRM Technical Developer
Bachelor,HTML,Python,CSS,Java,0,9,9,yes,programming,system developer,Finance,Technical,CRM Technical Developer
Bachelor,CSS,Java,C++,JavaScript,10,7,6,yes,Computer Architecture,Business process analyst,Service Based,Technical,CRM Technical Developer
Bachelor,HTML,CSS,JavaScript,C++,10+,9,9,yes,Software Engineering,developer,Web Services,Technical,CRM Technical Developer
Bachelor,CSS,Python,Java,JavaScript,3,9,3,no,Management,system developer,product development,Management,CRM Technical Developer
Master,CSS,Java,JavaScript,C++,10,8,6,no,networks,testing,Service Based,Management,CRM Technical Developer
Master,CSS,Java,HTML,C++,7,6,3,no,data engineering,cloud computing,SAaS services,Technical,CRM Technical Developer
Bachelor,HTML,Java,JavaScript,C++,8,8,4,yes,data engineering,security,product development,Technical,CRM Technical Developer
Bachelor,CSS,HTML,JavaScript,C++,8,6,3,yes,Software Engineering,system developer,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,C++,CSS,HTML,JavaScript,4,1,5,yes,data engineering,security,Testing and Maintainance Services,Technical,CRM Technical Developer
Bachelor,Python,Java,C++,JavaScript,5,2,5,yes,networks,cloud computing,Product based,Management,CRM Technical Developer
Master,C++,Python,Java,HTML,8,6,9,no,networks,cloud computing,Web Services,Technical,CRM Technical Developer
Master,CSS,Python,C++,JavaScript,9,6,9,no,Management,developer,Cloud Services,Management,CRM Technical Developer
Bachelor,Python,Java,JavaScript,C++,8,6,9,no,data engineering,system developer,Web Services,Technical,CRM Technical Developer
Master,Java,HTML,JavaScript,C++,7,4,6,yes,IOT,Business process analyst,Web Services,Management,CRM Technical Developer
Bachelor,HTML,CSS,Python,C++,10,3,5,no,data engineering,developer,BPA,Technical,CRM Technical Developer
Bachelor,HTML,Python,C++,Java,9,1,2,no,Computer Architecture,security,Web Services,Management,CRM Technical Developer
Master,HTML,Java,Python,JavaScript,5,6,5,no,Computer Architecture,Business process analyst,Cloud Services,Management,CRM Technical Developer
Master,Python,JavaScript,CSS,C++,7,5,8,yes,Computer Architecture,testing,Product based,Technical,CRM Technical Developer
Master,Python,JavaScript,C++,Java,8,4,1,no,cloud computing,Business process analyst,product development,Technical,CRM Technical Developer
Master,HTML,C++,Java,JavaScript,9,2,2,no,Software Engineering,testing,Finance,Management,CRM Technical Developer
Master,C++,HTML,CSS,Java,10+,2,4,no,data engineering,Business process analyst,product development,Management,CRM Technical Developer
Master,JavaScript,HTML,Python,CSS,9,7,7,yes,Management,system developer,Product based,Management,CRM Technical Developer
Bachelor,CSS,JavaScript,C++,Java,2,2,3,yes,IOT,cloud computing,Testing and Maintainance Services,Management,CRM Technical Developer
Bachelor,Python,CSS,C++,Java,6,5,2,yes,programming,Business process analyst,Cloud Services,Management,CRM Technical Developer
Bachelor,Java,JavaScript,CSS,HTML,2,1,8,yes,data engineering,Business process analyst,SAaS services,Technical,CRM Technical Developer
Bachelor,C++,JavaScript,Java,Python,8,5,6,no,Computer Architecture,security,Testing and Maintainance Services,Technical,CRM Technical Developer
Master,C++,Python,Java,CSS,4,7,7,yes,Software Engineering,Business process analyst,Product based,Management,CRM Technical Developer
Bachelor,Java,C++,CSS,HTML,2,2,4,yes,Software Engineering,security,BPA,Management,CRM Technical Developer
Master,Java,C++,HTML,CSS,7,1,6,no,hacking,security,Product based,Management,CRM Technical Developer
Master,JavaScript,Java,Python,HTML,4,6,9,yes,Computer Architecture,Business process analyst,Testing and Maintainance Services,Management,CRM Technical Developer
Master,CSS,JavaScript,HTML,Python,2,9,9,yes,parallel computing,Business process analyst,Web Services,Management,CRM Technical Developer
Bachelor,Python,HTML,C++,CSS,10+,1,2,yes,networks,system developer,Service Based,Management,CRM Technical Developer
Master,CSS,Python,C++,HTML,2,6,5,no,Management,testing,BPA,Technical,CRM Technical Developer
Bachelor,Python,Java,JavaScript,C++,1,5,6,yes,Software Engineering,cloud computing,SAaS services,Technical,CRM Technical Developer
Bachelor,JavaScript,CSS,Java,HTML,5,3,9,yes,Software Engineering,developer,SAaS services,Technical,CRM Technical Developer
Bachelor,Java,CSS,HTML,JavaScript,0,7,9,no,hacking,Business process analyst,Testing and Maintainance Services,Management,CRM Technical Developer
Master,Python,CSS,JavaScript,Java,10,2,5,no,networks,Business process analyst,Sales and Marketing,Technical,CRM Technical Developer
Master,HTML,JavaScript,Java,C++,9,9,7,yes,parallel computing,developer,Cloud Services,Management,CRM Technical Developer
Master,Java,HTML,Python,CSS,9,5,6,yes,networks,developer,product development,Management,CRM Technical Developer
Master,JavaScript,HTML,CSS,Python,8,9,3,yes,IOT,system developer,Testing and Maintainance Services,Technical,CRM Technical Developer
Master,HTML,C++,Python,CSS,10+,5,4,yes,networks,developer,SAaS services,Technical,CRM Technical Developer
Bachelor,Python,CSS,C++,Java,6,8,5,yes,parallel computing,cloud computing,product development,Management,CRM Technical Developer
Master,Java,JavaScript,C++,CSS,5,1,9,yes,networks,security,SAaS services,Technical,CRM Technical Developer
Bachelor,JavaScript,C++,Python,HTML,1,6,7,yes,programming,developer,Sales and Marketing,Technical,CRM Technical Developer
Master,CSS,C++,Java,JavaScript,6,9,5,yes,networks,Business process analyst,Cloud Services,Technical,CRM Technical Developer
Master,C++,JavaScript,CSS,Python,9,7,8,yes,Software Engineering,security,Testing and Maintainance Services,Management,CRM Technical Developer
Master,CSS,JavaScript,C++,HTML,4,8,2,no,Software Engineering,cloud computing,Web Services,Technical,CRM Technical Developer
Bachelor,Python,CSS,Java,JavaScript,10,1,4,yes,Management,developer,Cloud Services,Technical,CRM Technical Developer
Bachelor,CSS,C++,HTML,JavaScript,10+,8,5,yes,Management,system developer,Service Based,Management,CRM Technical Developer
Master,CSS,HTML,Python,JavaScript,10+,8,6,no,programming,cloud computing,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,Java,HTML,C++,Python,9,9,7,yes,Software Engineering,cloud computing,Sales and Marketing,Management,CRM Technical Developer
Master,C++,Java,HTML,Python,7,7,1,yes,Computer Architecture,Business process analyst,BPA,Technical,CRM Technical Developer
Bachelor,JavaScript,C++,Python,HTML,2,3,4,yes,networks,cloud computing,BPA,Management,CRM Technical Developer
Bachelor,C++,CSS,HTML,Java,8,4,8,no,Computer Architecture,security,Web Services,Technical,CRM Technical Developer
Master,Java,JavaScript,CSS,Python,2,5,3,no,networks,testing,Service Based,Management,CRM Technical Developer
Bachelor,CSS,JavaScript,HTML,Java,2,4,7,yes,programming,testing,product development,Management,CRM Technical Developer
Bachelor,C++,JavaScript,Python,HTML,1,5,9,yes,Computer Architecture,cloud computing,Product based,Technical,CRM Technical Developer
Bachelor,HTML,Java,C++,JavaScript,8,8,2,yes,IOT,testing,Web Services,Management,CRM Technical Developer
Master,JavaScript,C++,HTML,Java,7,2,5,yes,programming,Business process analyst,Web Services,Technical,CRM Technical Developer
Master,Java,CSS,JavaScript,Python,1,2,9,no,networks,developer,BPA,Management,CRM Technical Developer
Bachelor,HTML,C++,Java,Python,3,8,8,no,IOT,Business process analyst,Service Based,Management,CRM Technical Developer
Bachelor,CSS,C++,Java,JavaScript,0,6,5,no,IOT,testing,SAaS services,Management,CRM Technical Developer
Bachelor,CSS,JavaScript,Python,C++,10,5,5,yes,cloud computing,testing,Product based,Technical,CRM Technical Developer
Master,Python,HTML,CSS,Java,2,9,1,no,networks,developer,Finance,Management,CRM Technical Developer
Bachelor,CSS,JavaScript,Java,Python,4,5,5,yes,Management,developer,Testing and Maintainance Services,Technical,CRM Technical Developer
Bachelor,JavaScript,HTML,Python,C++,7,6,1,yes,cloud computing,testing,Cloud Services,Technical,CRM Technical Developer
Bachelor,Python,CSS,Java,JavaScript,6,9,7,yes,data engineering,cloud computing,product development,Technical,CRM Technical Developer
Bachelor,JavaScript,C++,Java,CSS,4,7,9,no,IOT,cloud computing,Web Services,Technical,CRM Technical Developer
Master,HTML,C++,JavaScript,Python,7,9,4,no,Software Engineering,testing,Cloud Services,Technical,CRM Technical Developer
Master,HTML,C++,CSS,Java,5,9,8,no,Computer Architecture,cloud computing,Sales and Marketing,Management,CRM Technical Developer
Bachelor,Python,Java,C++,CSS,3,3,2,yes,Software Engineering,testing,Finance,Technical,CRM Technical Developer
Bachelor,CSS,C++,Java,HTML,5,1,6,no,data engineering,cloud computing,Finance,Technical,CRM Technical Developer
Bachelor,C++,Java,Python,HTML,0,1,8,no,cloud computing,Business process analyst,Product based,Technical,CRM Technical Developer
Bachelor,Python,HTML,C++,Java,1,1,3,yes,cloud computing,cloud computing,Service Based,Management,CRM Technical Developer
Bachelor,CSS,Java,HTML,Python,0,3,6,yes,cloud computing,cloud computing,Product based,Technical,CRM Technical Developer
Master,C++,Python,Java,CSS,5,9,2,no,programming,cloud computing,Web Services,Management,CRM Technical Developer
Master,CSS,Java,HTML,Python,3,8,8,yes,Management,cloud computing,BPA,Technical,CRM Technical Developer
Bachelor,JavaScript,CSS,Java,C++,3,5,1,no,IOT,security,Cloud Services,Management,CRM Technical Developer
Bachelor,C++,CSS,Python,Java,4,9,3,no,IOT,security,Finance,Technical,CRM Technical Developer
Bachelor,CSS,Python,HTML,JavaScript,10,4,9,yes,IOT,developer,BPA,Technical,CRM Technical Developer
Master,HTML,C++,CSS,JavaScript,7,1,8,yes,parallel computing,security,BPA,Technical,CRM Technical Developer
Master,HTML,C++,Java,Python,6,7,2,yes,parallel computing,Business process analyst,Service Based,Management,CRM Technical Developer
Bachelor,CSS,C++,Python,HTML,7,3,2,yes,programming,cloud computing,Cloud Services,Management,CRM Technical Developer
Master,Java,CSS,HTML,Python,6,3,8,no,cloud computing,system developer,Product based,Management,CRM Technical Developer
Bachelor,Java,CSS,JavaScript,HTML,1,9,8,yes,cloud computing,developer,Testing and Maintainance Services,Technical,CRM Technical Developer
Bachelor,CSS,Python,JavaScript,HTML,5,9,2,no,programming,cloud computing,Sales and Marketing,Management,CRM Technical Developer
Bachelor,Python,C++,Java,JavaScript,5,5,4,yes,cloud computing,security,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,HTML,JavaScript,Python,C++,0,8,5,no,cloud computing,system developer,SAaS services,Management,CRM Technical Developer
Master,Java,HTML,Python,C++,9,4,1,no,data engineering,cloud computing,SAaS services,Technical,CRM Technical Developer
Bachelor,Python,C++,Java,HTML,10+,6,5,no,networks,system developer,Finance,Management,CRM Technical Developer
Bachelor,HTML,CSS,Python,C++,6,5,5,yes,cloud computing,testing,Web Services,Technical,CRM Technical Developer
Master,C++,Java,CSS,JavaScript,10+,6,7,no,Software Engineering,testing,Finance,Management,CRM Technical Developer
Bachelor,Java,C++,Python,JavaScript,0,2,1,no,IOT,security,Cloud Services,Technical,CRM Technical Developer
Bachelor,HTML,Python,CSS,JavaScript,2,4,5,yes,hacking,testing,Product based,Technical,CRM Technical Developer
Master,JavaScript,Python,C++,Java,1,3,8,yes,Computer Architecture,system developer,Product based,Technical,CRM Technical Developer
Master,CSS,Python,JavaScript,Java,0,2,8,yes,networks,security,BPA,Technical,CRM Technical Developer
Master,Python,CSS,C++,HTML,0,7,4,no,data engineering,system developer,SAaS services,Management,CRM Technical Developer
Bachelor,Python,HTML,CSS,JavaScript,0,6,2,yes,cloud computing,security,BPA,Technical,CRM Technical Developer
Bachelor,JavaScript,CSS,Java,HTML,1,6,5,yes,networks,testing,Product based,Management,CRM Technical Developer
Bachelor,Python,CSS,C++,HTML,8,9,9,yes,hacking,cloud computing,Finance,Technical,CRM Technical Developer
Bachelor,CSS,JavaScript,C++,Python,2,7,6,no,Software Engineering,security,Product based,Technical,CRM Technical Developer
Master,CSS,JavaScript,C++,Java,8,8,6,yes,parallel computing,Business process analyst,Product based,Technical,CRM Technical Developer
Master,HTML,C++,JavaScript,CSS,2,2,4,no,programming,security,BPA,Technical,CRM Technical Developer
Master,HTML,JavaScript,Python,C++,6,2,4,no,Computer Architecture,security,Finance,Management,CRM Technical Developer
Bachelor,CSS,HTML,JavaScript,Java,2,2,5,yes,Software Engineering,Business process analyst,Sales and Marketing,Management,CRM Technical Developer
Bachelor,HTML,Java,CSS,JavaScript,9,8,8,no,networks,cloud computing,Web Services,Management,CRM Technical Developer
Bachelor,C++,JavaScript,Java,CSS,4,9,8,yes,Management,Business process analyst,Service Based,Technical,CRM Technical Developer
Bachelor,HTML,JavaScript,C++,Java,2,6,8,yes,Software Engineering,cloud computing,Product based,Technical,CRM Technical Developer
Bachelor,Java,C++,JavaScript,CSS,3,3,7,no,networks,system developer,Web Services,Management,CRM Technical Developer
Master,Java,HTML,C++,JavaScript,9,9,3,yes,Software Engineering,Business process analyst,Service Based,Technical,CRM Technical Developer
Master,Python,Java,CSS,C++,7,6,8,no,hacking,developer,SAaS services,Management,CRM Technical Developer
Master,JavaScript,C++,Python,CSS,10+,5,1,no,Software Engineering,system developer,product development,Management,CRM Technical Developer
Bachelor,Java,HTML,Python,CSS,10,8,6,no,IOT,Business process analyst,BPA,Management,CRM Technical Developer
Master,C++,HTML,JavaScript,CSS,2,9,3,yes,data engineering,testing,SAaS services,Technical,CRM Technical Developer
Bachelor,Java,Python,CSS,C++,0,7,2,no,Software Engineering,Business process analyst,Cloud Services,Management,CRM Technical Developer
Master,CSS,JavaScript,Python,Java,4,8,5,yes,Computer Architecture,developer,Service Based,Management,CRM Technical Developer
Master,CSS,Python,HTML,JavaScript,8,1,1,no,networks,cloud computing,Product based,Technical,CRM Technical Developer
Bachelor,CSS,Python,Java,HTML,8,1,2,yes,parallel computing,security,Product based,Management,CRM Technical Developer
Bachelor,C++,Python,HTML,CSS,9,9,1,no,cloud computing,developer,Service Based,Technical,CRM Technical Developer
Master,C++,Python,HTML,JavaScript,1,9,7,yes,programming,developer,Web Services,Management,CRM Technical Developer
Master,HTML,JavaScript,Python,CSS,5,6,7,yes,hacking,security,Service Based,Technical,CRM Technical Developer
Bachelor,HTML,Python,C++,JavaScript,2,1,2,no,networks,developer,Service Based,Technical,CRM Technical Developer
Master,JavaScript,C++,CSS,Python,5,9,3,no,Management,developer,Web Services,Technical,CRM Technical Developer
Master,CSS,JavaScript,C++,Java,0,6,2,yes,Computer Architecture,security,SAaS services,Management,CRM Technical Developer
Master,HTML,Java,Python,JavaScript,7,6,9,no,Computer Architecture,testing,Finance,Technical,CRM Technical Developer
Bachelor,C++,Python,JavaScript,CSS,6,1,1,yes,Management,security,Service Based,Management,CRM Technical Developer
Bachelor,Python,Java,C++,HTML,1,3,1,no,hacking,developer,Cloud Services,Management,CRM Technical Developer
Master,Java,C++,CSS,Python,2,2,5,yes,Software Engineering,security,product development,Technical,CRM Technical Developer
Master,Java,C++,Python,HTML,1,3,6,yes,Management,security,Testing and Maintainance Services,Management,CRM Technical Developer
Bachelor,CSS,C++,HTML,Python,7,2,9,yes,IOT,testing,Cloud Services,Technical,CRM Technical Developer
Bachelor,C++,HTML,CSS,JavaScript,3,4,6,yes,data engineering,system developer,Service Based,Technical,CRM Technical Developer
Master,Python,CSS,JavaScript,C++,1,7,9,yes,networks,Business process analyst,Service Based,Management,CRM Technical Developer
Bachelor,CSS,Java,JavaScript,HTML,2,5,6,no,hacking,security,Sales and Marketing,Management,CRM Technical Developer
Master,HTML,C++,CSS,Java,6,2,5,no,IOT,testing,Product based,Management,CRM Technical Developer
Master,JavaScript,CSS,HTML,Python,1,6,1,yes,Management,developer,Web Services,Technical,CRM Technical Developer
Bachelor,Python,HTML,C++,JavaScript,10+,6,3,no,networks,developer,SAaS services,Technical,CRM Technical Developer
Bachelor,CSS,Java,JavaScript,Python,5,9,2,no,IOT,system developer,Cloud Services,Management,CRM Technical Developer
Bachelor,CSS,Python,HTML,JavaScript,2,3,2,yes,Management,developer,Service Based,Technical,CRM Technical Developer
Master,HTML,Python,CSS,Java,7,5,9,yes,programming,cloud computing,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,HTML,JavaScript,Python,C++,8,8,3,yes,Software Engineering,system developer,Cloud Services,Technical,CRM Technical Developer
Master,CSS,JavaScript,C++,HTML,8,7,8,yes,networks,developer,Web Services,Management,CRM Technical Developer
Bachelor,Python,JavaScript,HTML,C++,7,4,3,yes,programming,system developer,SAaS services,Management,CRM Technical Developer
Bachelor,Python,C++,HTML,Java,6,2,3,no,data engineering,system developer,Service Based,Management,CRM Technical Developer
Master,C++,Java,Python,JavaScript,0,9,3,yes,Computer Architecture,testing,Service Based,Management,CRM Technical Developer
Bachelor,Python,HTML,CSS,C++,7,2,6,yes,Management,cloud computing,Web Services,Technical,CRM Technical Developer
Master,JavaScript,CSS,Java,Python,5,1,8,no,data engineering,developer,Cloud Services,Technical,CRM Technical Developer
Master,JavaScript,CSS,Python,HTML,7,9,8,no,IOT,Business process analyst,Testing and Maintainance Services,Management,CRM Technical Developer
Master,HTML,JavaScript,Java,Python,4,8,8,yes,hacking,Business process analyst,Finance,Management,CRM Technical Developer
Master,JavaScript,Java,HTML,Python,9,2,1,yes,data engineering,system developer,BPA,Technical,CRM Technical Developer
Bachelor,JavaScript,CSS,Java,HTML,10,7,9,no,Management,developer,Product based,Management,CRM Technical Developer
Bachelor,C++,HTML,Java,CSS,2,9,2,yes,parallel computing,cloud computing,Sales and Marketing,Technical,CRM Technical Developer
Master,Python,JavaScript,C++,HTML,4,6,7,no,data engineering,developer,Finance,Technical,CRM Technical Developer
Bachelor,JavaScript,Python,HTML,Java,2,9,8,no,parallel computing,system developer,Service Based,Management,CRM Technical Developer
Bachelor,C++,CSS,JavaScript,HTML,10,5,6,no,cloud computing,cloud computing,Finance,Management,CRM Technical Developer
Bachelor,JavaScript,Python,C++,CSS,10+,2,6,no,cloud computing,cloud computing,Product based,Technical,CRM Technical Developer
Bachelor,CSS,C++,JavaScript,HTML,10+,8,5,yes,programming,cloud computing,Cloud Services,Technical,CRM Technical Developer
Bachelor,C++,HTML,JavaScript,CSS,8,3,7,no,hacking,security,Testing and Maintainance Services,Management,CRM Technical Developer
Master,Python,JavaScript,CSS,C++,9,8,3,no,IOT,testing,product development,Technical,CRM Technical Developer
Bachelor,Python,HTML,JavaScript,CSS,2,6,4,no,hacking,testing,Sales and Marketing,Management,CRM Technical Developer
Master,Java,C++,HTML,CSS,7,7,3,yes,programming,Business process analyst,BPA,Technical,CRM Technical Developer
Bachelor,Python,HTML,C++,Java,1,2,8,no,hacking,security,Cloud Services,Technical,CRM Technical Developer
Master,C++,Java,HTML,CSS,10+,1,7,yes,parallel computing,Business process analyst,SAaS services,Technical,CRM Technical Developer
Master,CSS,JavaScript,Python,C++,7,5,9,no,IOT,cloud computing,Web Services,Technical,CRM Technical Developer
Bachelor,Java,Python,HTML,JavaScript,10,9,9,no,Management,testing,Service Based,Technical,CRM Technical Developer
Bachelor,JavaScript,Java,C++,CSS,0,4,4,no,cloud computing,system developer,Service Based,Technical,CRM Technical Developer
Master,Java,C++,JavaScript,CSS,6,1,5,yes,parallel computing,Business process analyst,Testing and Maintainance Services,Technical,CRM Technical Developer
Bachelor,Python,JavaScript,HTML,CSS,1,6,7,no,data engineering,system developer,product development,Technical,CRM Technical Developer
Bachelor,JavaScript,CSS,C++,HTML,1,9,6,no,networks,testing,Product based,Technical,CRM Technical Developer
Bachelor,Java,HTML,C++,CSS,0,2,9,yes,Computer Architecture,testing,product development,Technical,CRM Technical Developer
Master,JavaScript,CSS,HTML,Java,10,3,7,no,programming,testing,Web Services,Technical,CRM Technical Developer
Master,C++,Python,JavaScript,Java,6,4,4,yes,Management,testing,SAaS services,Technical,CRM Technical Developer
Bachelor,HTML,CSS,C++,JavaScript,10,1,8,no,programming,testing,BPA,Technical,CRM Technical Developer
Bachelor,C++,Python,HTML,Java,7,9,9,yes,IOT,developer,SAaS services,Technical,CRM Technical Developer
Master,HTML,JavaScript,C++,CSS,9,7,9,yes,parallel computing,developer,Sales and Marketing,Technical,CRM Technical Developer
Master,HTML,Java,JavaScript,C++,8,7,2,yes,Software Engineering,cloud computing,product development,Management,CRM Technical Developer
Master,C++,JavaScript,Java,Python,10,3,4,yes,Management,developer,Cloud Services,Technical,CRM Technical Developer
Bachelor,CSS,C++,JavaScript,Python,6,8,5,yes,parallel computing,testing,BPA,Management,CRM Technical Developer
Bachelor,CSS,C++,Python,HTML,4,5,6,yes,Computer Architecture,system developer,Web Services,Management,CRM Technical Developer
Bachelor,C++,JavaScript,Python,CSS,8,9,8,no,cloud computing,cloud computing,Testing and Maintainance Services,Management,CRM Technical Developer
Master,Python,C++,Java,CSS,6,9,1,yes,Computer Architecture,cloud computing,product development,Management,CRM Technical Developer
Bachelor,HTML,JavaScript,Java,CSS,4,6,7,yes,Computer Architecture,testing,Cloud Services,Management,CRM Technical Developer
Bachelor,JavaScript,HTML,C++,CSS,10,6,8,no,IOT,developer,BPA,Technical,CRM Technical Developer
Bachelor,JavaScript,HTML,C++,Python,7,9,5,no,cloud computing,cloud computing,Sales and Marketing,Technical,CRM Technical Developer
Master,Java,HTML,Python,CSS,6,4,5,no,data engineering,system developer,BPA,Technical,CRM Technical Developer
Bachelor,C++,CSS,Java,HTML,0,1,8,yes,hacking,testing,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,Java,JavaScript,C++,CSS,10,3,2,no,cloud computing,security,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,HTML,C++,Java,CSS,1,4,8,yes,IOT,Business process analyst,product development,Management,CRM Technical Developer
Bachelor,Java,C++,JavaScript,Python,10,7,5,no,Software Engineering,Business process analyst,Service Based,Management,CRM Technical Developer
Master,C++,JavaScript,Java,CSS,3,4,4,no,Management,security,Service Based,Management,CRM Technical Developer
Master,Java,CSS,Python,HTML,4,6,5,yes,cloud computing,Business process analyst,product development,Management,CRM Technical Developer
Bachelor,JavaScript,Python,CSS,C++,7,2,8,yes,data engineering,cloud computing,BPA,Technical,CRM Technical Developer
Bachelor,Python,Java,HTML,JavaScript,7,9,8,yes,hacking,security,Service Based,Technical,CRM Technical Developer
Bachelor,Java,C++,CSS,JavaScript,10+,3,5,no,programming,security,SAaS services,Technical,CRM Technical Developer
Master,C++,Python,Java,JavaScript,3,4,3,yes,Computer Architecture,testing,Testing and Maintainance Services,Management,CRM Technical Developer
Bachelor,HTML,Python,C++,CSS,7,4,5,yes,hacking,system developer,Cloud Services,Management,CRM Technical Developer
Bachelor,Python,HTML,JavaScript,CSS,1,9,6,no,data engineering,security,Web Services,Technical,CRM Technical Developer
Master,C++,Java,HTML,CSS,1,8,2,yes,Computer Architecture,system developer,Testing and Maintainance Services,Management,CRM Technical Developer
Master,CSS,Python,C++,JavaScript,3,9,7,no,programming,developer,product development,Management,CRM Technical Developer
Master,Java,C++,Python,HTML,6,8,6,yes,hacking,system developer,SAaS services,Technical,CRM Technical Developer
Master,JavaScript,Java,Python,C++,10+,8,3,yes,networks,system developer,Service Based,Management,CRM Technical Developer
Bachelor,C++,CSS,JavaScript,Java,10,6,9,yes,IOT,testing,Web Services,Technical,CRM Technical Developer
Bachelor,C++,Java,CSS,JavaScript,2,3,2,yes,hacking,cloud computing,Product based,Management,CRM Technical Developer
Bachelor,CSS,JavaScript,HTML,C++,0,2,5,yes,parallel computing,testing,Testing and Maintainance Services,Management,CRM Technical Developer
Master,Python,HTML,C++,JavaScript,1,3,2,no,parallel computing,system developer,Web Services,Management,CRM Technical Developer
Bachelor,JavaScript,Java,Python,CSS,7,7,1,no,cloud computing,system developer,Product based,Technical,CRM Technical Developer
Master,Java,JavaScript,HTML,Python,6,9,7,yes,parallel computing,cloud computing,Cloud Services,Management,CRM Technical Developer
Master,Java,JavaScript,HTML,CSS,0,5,7,no,Software Engineering,testing,Service Based,Management,CRM Technical Developer
Master,CSS,JavaScript,C++,Java,4,1,6,yes,networks,Business process analyst,Cloud Services,Technical,CRM Technical Developer
Bachelor,HTML,JavaScript,Python,CSS,1,5,4,no,Management,system developer,Service Based,Management,CRM Technical Developer
Master,Java,HTML,JavaScript,C++,7,8,6,no,Computer Architecture,developer,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,Python,CSS,JavaScript,HTML,3,6,1,no,cloud computing,Business process analyst,Web Services,Technical,CRM Technical Developer
Bachelor,Java,Python,HTML,C++,0,3,7,yes,data engineering,security,Sales and Marketing,Technical,CRM Technical Developer
Master,Java,Python,HTML,CSS,7,7,5,no,parallel computing,developer,product development,Technical,CRM Technical Developer
Master,JavaScript,Java,C++,HTML,8,3,8,yes,data engineering,security,Sales and Marketing,Technical,CRM Technical Developer
Master,Python,Java,HTML,JavaScript,4,6,5,yes,Computer Architecture,Business process analyst,Product based,Management,CRM Technical Developer
Bachelor,Python,C++,HTML,CSS,5,4,2,yes,Management,developer,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,C++,JavaScript,HTML,Python,5,5,5,yes,hacking,developer,Cloud Services,Technical,CRM Technical Developer
Bachelor,JavaScript,Python,CSS,C++,10,6,4,no,cloud computing,testing,BPA,Technical,CRM Technical Developer
Master,HTML,C++,CSS,Java,2,2,6,no,Software Engineering,developer,Service Based,Technical,CRM Technical Developer
Bachelor,CSS,C++,Java,JavaScript,9,2,8,yes,networks,testing,product development,Technical,CRM Technical Developer
Master,CSS,HTML,JavaScript,C++,10+,2,3,no,Computer Architecture,developer,Web Services,Management,CRM Technical Developer
Master,HTML,Python,C++,JavaScript,4,9,3,yes,cloud computing,cloud computing,product development,Management,CRM Technical Developer
Bachelor,HTML,CSS,Java,Python,8,5,9,yes,cloud computing,security,Sales and Marketing,Management,CRM Technical Developer
Master,Java,CSS,C++,Python,4,2,1,yes,cloud computing,Business process analyst,Sales and Marketing,Management,CRM Technical Developer
Bachelor,HTML,C++,JavaScript,CSS,1,5,1,yes,Management,testing,product development,Technical,CRM Technical Developer
Master,Python,Java,C++,JavaScript,7,8,3,no,IOT,security,Sales and Marketing,Technical,CRM Technical Developer
Bachelor,JavaScript,HTML,Python,C++,2,3,7,no,data engineering,security,product development,Technical,CRM Technical Developer
Bachelor,CSS,HTML,JavaScript,Java,10+,3,2,yes,Computer Architecture,security,Finance,Technical,CRM Technical Developer
Master,C++,Python,Java,HTML,10+,2,2,yes,cloud computing,developer,Cloud Services,Management,CRM Technical Developer
Master,Python,C++,CSS,Java,10,1,6,no,Software Engineering,testing,BPA,Technical,CRM Technical Developer
Master,HTML,Python,Java,CSS,8,7,9,no,hacking,security,Cloud Services,Management,CRM Technical Developer
Bachelor,Python,CSS,Java,HTML,10+,3,7,no,cloud computing,developer,BPA,Management,CRM Technical Developer
Master,Python,Java,HTML,CSS,6,4,3,yes,Software Engineering,testing,product development,Management,CRM Technical Developer
Bachelor,JavaScript,CSS,C++,Python,8,3,3,yes,parallel computing,security,Service Based,Technical,CRM Technical Developer
Master,HTML,Python,C++,CSS,2,2,3,no,cloud computing,cloud computing,Sales and Marketing,Management,CRM Technical Developer
Bachelor,CSS,Python,Java,JavaScript,8,5,3,yes,networks,developer,Finance,Management,CRM Technical Developer
Bachelor,Python,CSS,HTML,Java,6,1,8,no,networks,developer,BPA,Management,CRM Technical Developer
Bachelor,Java,Python,C++,JavaScript,10,4,1,yes,data engineering,testing,Product based,Management,CRM Technical Developer
Master,Python,C++,JavaScript,HTML,4,6,4,yes,IOT,system developer,Web Services,Technical,CRM Technical Developer
Master,HTML,JavaScript,C++,Java,9,8,4,no,parallel computing,security,Product based,Technical,CRM Technical Developer
Bachelor,CSS,JavaScript,C++,Java,6,1,8,yes,Computer Architecture,system developer,SAaS services,Technical,CRM Technical Developer
Bachelor,C++,Python,JavaScript,CSS,8,5,2,no,cloud computing,system developer,Cloud Services,Management,CRM Technical Developer
